year,lake,break_jday,break_date,clear_jday,clear_date,form_jday,form_date,Elevation
2015,Green1,160,6/9/15,164,6/13/15,304,10/31/15,3425
2016,Green1,NaN,NaN,160,6/8/16,322,11/17/16,3425
2017,Green1,NaN,NaN,173,6/22/17,294,10/21/17,3425
1968,Green2,NaN,NaN,NaN,NaN,NaN,NaN,3400
1969,Green2,NaN,NaN,NaN,NaN,NaN,NaN,3400
1970,Green2,NaN,NaN,NaN,NaN,NaN,NaN,3400
1973,Green2,NaN,NaN,NaN,NaN,NaN,NaN,3400
1974,Green2,NaN,NaN,NaN,NaN,NaN,NaN,3400
1981,Green2,NaN,NaN,NaN,NaN,NaN,NaN,3400
1982,Green2,NaN,NaN,180,6/29/82,283,10/10/82,3400
1983,Green2,174,6/23/83,181,6/30/83,286,10/13/83,3400
1984,Green2,NaN,NaN,164,6/12/84,NaN,NaN,3400
1985,Green2,129,5/9/85,158,6/7/85,273,9/30/85,3400
1986,Green2,154,6/3/86,170,6/19/86,289,10/16/86,3400
1987,Green2,NaN,NaN,137,5/17/87,NaN,NaN,3400
1988,Green2,NaN,NaN,NaN,NaN,NaN,NaN,3400
1989,Green2,145,5/25/89,166,6/15/89,306,11/2/89,3400
1990,Green2,156,6/5/90,161,6/10/90,305,11/1/90,3400
1991,Green2,144,5/24/91,163,6/12/91,301,10/28/91,3400
1992,Green2,140,5/19/92,147,5/26/92,303,10/29/92,3400
1993,Green2,138,5/18/93,174,6/23/93,301,10/28/93,3400
1994,Green2,144,5/24/94,153,6/2/94,298,10/25/94,3400
1995,Green2,164,6/13/95,163,6/12/95,NaN,NaN,3400
1996,Green2,139,5/18/96,154,6/2/96,310,11/5/96,3400
1997,Green2,161,6/10/97,171,6/20/97,296,10/23/97,3400
1998,Green2,146,5/26/98,177,6/26/98,292,10/19/98,3400
1999,Green2,154,6/3/99,177,6/26/99,301,10/28/99,3400
2000,Green2,131,5/10/00,151,5/30/00,307,11/2/00,3400
2001,Green2,135,5/15/01,159,6/8/01,287,10/14/01,3400
2002,Green2,121,5/1/02,139,5/19/02,291,10/18/02,3400
2003,Green2,153,6/2/03,166,6/15/03,303,10/30/03,3400
2004,Green2,151,5/30/04,164,6/12/04,305,10/31/04,3400
2005,Green2,144,5/24/05,163,6/12/05,311,11/7/05,3400
2006,Green2,136,5/16/06,158,6/7/06,295,10/22/06,3400
2007,Green2,135,5/15/07,157,6/6/07,308,11/4/07,3400
2008,Green2,141,5/20/08,168,6/16/08,308,11/3/08,3400
2009,Green2,141,5/21/09,170,6/19/09,307,11/3/09,3400
2010,Green2,147,5/27/10,164,6/13/10,NaN,NaN,3400
2011,Green2,167,6/16/10,181,6/30/11,NaN,NaN,3400
2012,Green2,122,5/1/12,129,5/8/12,300,10/26/12,3400
2013,Green2,136,5/16/13,166,6/15/13,293,10/20/13,3400
2014,Green2,119,4/29/14,165,6/14/14,307,11/3/14,3400
2015,Green2,153,6/2/15,171,6/20/15,300,10/27/15,3400
2016,Green2,NaN,NaN,162,6/10/16,324,11/19/16,3400
2017,Green2,NaN,NaN,172,6/21/17,294,10/21/17,3400
1968,Green3,NaN,NaN,NaN,NaN,NaN,NaN,3450
1969,Green3,NaN,NaN,NaN,NaN,NaN,NaN,3450
1970,Green3,NaN,NaN,NaN,NaN,NaN,NaN,3450
1973,Green3,NaN,NaN,NaN,NaN,NaN,NaN,3450
1974,Green3,NaN,NaN,NaN,NaN,NaN,NaN,3450
1981,Green3,NaN,NaN,NaN,NaN,NaN,NaN,3450
1982,Green3,NaN,NaN,180,6/29/82,283,10/10/82,3450
1983,Green3,174,6/23/83,181,6/30/83,286,10/13/83,3450
1984,Green3,152,5/31/84,162,6/10/84,NaN,NaN,3450
1985,Green3,150,5/30/85,162,6/11/85,273,9/30/85,3450
1986,Green3,154,6/3/86,172,6/21/86,291,10/18/86,3450
1987,Green3,134,5/14/87,139,5/19/87,NaN,NaN,3450
1988,Green3,NaN,NaN,NaN,NaN,NaN,NaN,3450
1989,Green3,145,5/25/89,169,6/18/89,306,11/2/89,3450
1990,Green3,151,5/31/90,161,6/10/90,305,11/1/90,3450
1991,Green3,144,5/24/91,155,6/4/91,301,10/28/91,3450
1992,Green3,122,5/1/92,139,5/18/92,299,10/25/92,3450
1993,Green3,138,5/18/93,166,6/15/93,301,10/28/93,3450
1994,Green3,144,5/24/94,151,5/31/94,297,10/24/94,3450
1995,Green3,164,6/13/95,182,7/1/95,NaN,NaN,3450
1996,Green3,146,5/25/96,153,6/1/96,310,11/5/96,3450
1997,Green3,154,6/3/97,169,6/18/97,296,10/23/97,3450
1998,Green3,146,5/26/98,171,6/20/98,292,10/19/98,3450
1999,Green3,154,6/3/99,174,6/23/99,301,10/28/99,3450
2000,Green3,NaN,NaN,145,5/24/00,307,11/2/00,3450
2001,Green3,135,5/15/01,155,6/4/01,299,10/26/01,3450
2002,Green3,123,5/3/02,141,5/21/02,291,10/18/02,3450
2003,Green3,149,5/29/03,159,6/8/03,303,10/30/03,3450
2004,Green3,144,5/23/04,160,6/8/04,305,10/31/04,3450
2005,Green3,144,5/24/05,161,6/10/05,311,11/7/05,3450
2006,Green3,136,5/16/06,152,6/1/06,290,10/17/06,3450
2007,Green3,135,5/15/07,155,6/4/07,295,10/22/07,3450
